date,REV_GG_TAX_TOTAL_M,REV_CG_TOTAL_M,EXP_CG_TOTAL_M,EXP_GG_SA_TOTAL_Q,REV_GG_SA_TOTAL_Q,IFO_BIZCLIMATE_M,GDP_DEFLATOR_Q,GDP_REAL_Q,HICP_TOTAL_M,IP_TOTAL_M,RETAIL_TURNOVER_M,AUTO_SALES_M,BUND_YIELD_10Y_M
1996-01-01,-1.0289505889436446,-1.4212514266456977,-9.188989270059956,,,,,,,-1.5130674002751143,-21.101774042950506,18.34975845410629,-0.09999999999999964
1996-02-01,8.101228883967382,2.4776889131736146,10.986172736611088,,,,,,0.5263157894736858,1.6759776536312998,-1.3017751479289852,-3.2317756805886666,0.45999999999999996
1996-03-01,-7.726547130149841,0.27403171167854623,-10.199217943753801,-0.0942376358679442,-0.039334777874600046,,-2.1462639109698034,-4.570455735987422,0.17452006980802626,6.868131868131866,6.594724220623505,40.749156355455575,0.04999999999999982
1996-04-01,-1.2981920445728323,-1.4075273687468193,8.54515953409123,,,,,,-0.17421602787456303,-5.0128534704370065,1.462317210348707,12.207161847524372,-0.08000000000000007
1996-05-01,-1.1697566234369239,-8.175128369033546,7.447839448152638,,,,,,0.17452006980802626,0.0,-1.9955654101995512,-19.565718030109135,0.16000000000000014
1996-06-01,2.5614048860236105,2.1251703623405227,-13.883112134283726,1.5870076766492769,-0.10563932709289903,,0.29786081776332907,1.5644298065047302,0.17421602787457413,0.0,-7.8054298642534,-6.567490185660729,-0.009999999999999787
1996-07-01,-2.3036304245992456,4.792966730190962,7.0307644537912495,,,,,,0.17391304347826875,1.2178619756427533,6.134969325153383,-3.658621343274149,-0.1299999999999999
1996-08-01,4.6838180492413395,4.1056747877701305,-0.38718495883641735,,,,,,-0.17361111111111605,-8.823529411764696,-1.965317919075149,-25.132230890054075,0.019999999999999574
1996-09-01,-3.2737889238347084,-1.2212379534189188,-3.083884279135418,0.4569525078721215,1.4064047823329817,,0.7829373650108051,2.2834752060532315,0.0,15.542521994134884,-0.5896226415094352,43.93384607298656,-0.2999999999999998
1996-10-01,0.4826656776390381,-2.8963618284299386,11.034387266649958,,,,,,0.0,2.538071065989844,6.049822064056953,-12.995398997030039,-0.08999999999999986
1996-11-01,0.735688614135066,-4.0904446298405395,-7.331730282147275,,,,,,-0.17391304347826875,-0.3712871287128716,3.0201342281878985,-9.041753229947048,-0.3799999999999999
1996-12-01,-0.04056163610458574,1.3606627913193448,6.128738256817545,0.7839829383387897,-0.008270325070247608,,1.232252879721396,2.1136063408190076,0.34843205574912606,-10.310559006211173,13.57220412595006,-10.408511685495226,0.14999999999999947
1997-01-01,-0.360210802540184,-3.259087365819857,-4.865240711488661,,,,,,0.694444444444442,-0.969529085872578,-18.546845124282974,14.194174173916396,-0.07999999999999918
