date,REV_GG_TAX_TOTAL_M,REV_CG_TOTAL_M,EXP_CG_TOTAL_M,EXP_GG_TOTAL_Q,REV_GG_TOTAL_Q
1998-03-01,32763448715.4796,16167616064.7346,20006762445.6632,81055784880.8165,75649815205.1563
1998-04-01,33064122401.1437,12163811291.5009,18844387635.3467,,
1998-05-01,32524737369.2125,21713927878.3408,18460497199.5002,,
1998-06-01,32421863007.6687,16255592010.8727,24301308319.9062,80931510811.1804,76991037772.9654
1998-07-01,33254121309.7803,17005278884.7398,17992662093.7833,,
1998-08-01,32835884253.1024,16730105947.899,20035732422.5938,,
1998-09-01,33475088937.0879,15356193482.5159,19680354225.8909,81802599333.1254,76794172234.071
1998-10-01,33674261883.6988,17010679666.5558,19394314557.8025,,
1998-11-01,33305885917.5774,19607084576.0613,19911286671.1894,,
1998-12-01,33952002715.2037,17782082043.1564,17801298570.0831,81945793522.8081,78069041224.1039
1999-01-01,34416625455.8717,18178015262.4642,19763374078.5876,,
1999-02-01,33553044587.0495,16756790792.7083,20024469308.3137,,
1999-03-01,34607482063.4403,18199634614.9344,19498076313.373,83154156320.715,79317196775.2095
1999-04-01,35627894864.7984,18357130631.1302,19875691786.7922,,
1999-05-01,34476311606.7297,16627214087.7686,19731964743.2048,,
1999-06-01,34963604995.035,18256375835.091,20977325671.838,83707470946.2649,80231819957.6218
1999-07-01,35119393195.1424,17217054386.8178,20572095983.8381,,
1999-08-01,35808265107.7975,16646033779.8455,21278358294.9163,,
1999-09-01,35401145219.0502,19492803337.5409,23070686816.6387,84434180072.0631,81158901519.253
1999-10-01,34302769079.8057,18597593619.0527,19133115017.1039,,
1999-11-01,36043167104.3237,18245934013.3778,23737405122.1382,,
1999-12-01,36414698663.3726,20746173155.3118,20289544845.7301,84526894171.7166,81994888975.4332
2000-01-01,35391506644.8627,17132414851.82,20457910364.8872,,
2000-02-01,36931619276.4902,19141707529.3421,20468919732.6393,,
2000-03-01,36307094827.889,19016650628.4234,19964191007.6094,84508278994.4775,81373358343.7774
2000-04-01,35535953466.2036,17245662309.5475,20004621909.2935,,
2000-05-01,39558685177.6057,19895621584.8408,21186587267.62,,
2000-06-01,37954963639.6375,20440055888.0221,19333193216.6257,84829405610.3688,82794524110.5625
2000-07-01,34832566713.3493,18125763549.0117,20358204276.6913,,
2000-08-01,35123169564.7651,17805605113.952,20043163985.7831,,
2000-09-01,37333417865.4994,18820504690.4015,20366610166.0058,85028879393.3475,82275565087.7568
2000-10-01,35743832414.3995,17922673918.1675,20759766197.265,,
2000-11-01,35682594489.9379,17721519726.3192,21508317964.1898,,
2000-12-01,35610177976.2325,17568390332.7172,20795272064.0789,86816811625.6098,82588791756.9301
2001-01-01,38785019145.5158,19740535826.2087,21010511416.5122,,
2001-02-01,35222630704.2542,18913778938.2508,19841129881.6956,,
2001-03-01,35707589381.7189,18211214660.4664,20105556106.4898,86429343114.1777,82237789427.6197
2001-04-01,34912813534.4541,18264090577.5515,20523764160.7238,,
2001-05-01,34529923892.3773,17367031068.425,19984192044.3612,,
2001-06-01,35499165184.2328,18162913612.8583,19935147657.7321,86595940179.1011,82309103138.2419
2001-07-01,35145627314.8323,22678514661.9364,19906419173.5344,,
2001-08-01,35322821908.7374,19966129460.8655,20708962455.8913,,
2001-09-01,33724463224.5883,15794600287.4109,19356187182.6028,87167145568.8052,81296645195.1891
2001-10-01,34113312171.3775,17121326100.4543,22048356925.2694,,
2001-11-01,33875292642.6753,16959123542.3838,20658694768.1089,,
2001-12-01,32627653706.5763,17752638867.5171,19519449284.0347,88687765842.687,80330926859.5216
2002-01-01,37401766718.2222,19110267907.6089,20727946472.4617,,
2002-02-01,33681296912.7517,17074889575.4764,20917742525.8766,,
2002-03-01,32936238824.88,16881813321.6661,20915515231.6266,88552597951.6584,80623828454.6455
2002-04-01,33899747865.7385,17756996855.9226,21176374669.0983,,
2002-05-01,34361339061.7814,18230780521.2766,20606576506.5709,,
2002-06-01,32096705082.8925,16033426941.2849,21052605258.5019,89029223897.5251,81288230751.3728
2002-07-01,34845108914.0643,18255741380.6968,21153111339.1108,,
2002-08-01,35324338507.6006,19909897520.2609,20218470701.8691,,
2002-09-01,33831925715.83,18891495315.9376,21192395578.7073,89550468540.0242,82706360315.4741
2002-10-01,36543587966.8802,18924972993.7633,20875650184.5777,,
2002-11-01,34025328571.7372,17333289852.6911,20477650131.4567,,
2002-12-01,35254355630.5175,18067871291.5933,20986223242.9851,90674451204.4256,82727902110.2983
2003-01-01,33973341275.6697,16648680739.2931,20999691861.4878,,
2003-02-01,34011206432.9187,17590447742.7473,21736822150.7617,,
2003-03-01,33481814470.9722,17212730125.2608,21589515037.8628,90189950622.6398,82727642062.7086
2003-04-01,34383464904.9516,19197120136.1379,22094650386.7725,,
2003-05-01,34776273807.745,18494186420.3957,21357294509.6326,,
2003-06-01,34091466484.8408,17146492083.1944,21978476205.7544,90725812852.2302,83057308553.0108
2003-07-01,35398628224.764,18490020669.1512,21407602530.3024,,
2003-08-01,33746911753.9438,16759496467.753,23351679550.6682,,
2003-09-01,34721126007.0173,16597245548.4761,21861593384.5616,91262915433.2276,83009330114.8306
2003-10-01,35271248356.4645,18958044895.1221,20984977710.1461,,
2003-11-01,35372053958.0481,22833076978.7192,20036975089.0347,,
2003-12-01,35281414720.539,17979889401.6143,20383206301.776,90571139604.9748,85050690683.1286
2004-01-01,35265680407.1594,15387747676.108,21426814820.3973,,
2004-02-01,34495282736.8572,17982856892.3103,22232318539.8645,,
2004-03-01,31294319423.2116,15585212322.4102,21274451968.3576,90618070128.4884,82696618135.1192
2004-04-01,36902492307.5377,17664680758.4532,19744307375.7601,,
2004-05-01,33503344024.7969,16856714505.2285,22032343507.9019,,
2004-06-01,34699496160.5295,17301839492.207,21559866658.1616,89878925262.3771,82344801938.04
2004-07-01,32616275927.4102,16126005335.0061,21349158924.2805,,
2004-08-01,34222346201.3725,16736951957.4496,20536480652.4482,,
2004-09-01,34154372262.237,19653270858.1725,20593721737.7715,89857896526.0469,82933666825.2378
2004-10-01,33484977864.0892,17394519143.9579,20399715995.3332,,
2004-11-01,35149052377.2287,20863576706.7901,20626008787.4633,,
2004-12-01,34371328967.3145,18899538373.8771,19264202078.8349,88985957592.7355,85080823471.3855
2005-01-01,33133733283.451,11796382097.9296,21565964694.8025,,
2005-02-01,35007423185.9264,19300517097.6942,21876482701.727,,
2005-03-01,34020532230.0902,18235712466.2256,22818005606.8053,90841446622.1529,84288982685.6897
2005-04-01,33850596635.0926,18292523475.9229,21519431775.855,,
2005-05-01,34663645333.9958,18159443846.9347,22051110129.2331,,
2005-06-01,34009676034.738,19894324125.6983,24432788668.6754,91214286291.3002,83534664870.2944
2005-07-01,33861278071.3472,22562725779.1863,19919268167.4019,,
2005-08-01,34903377700.7311,24353195269.2665,22757493375.5627,,
2005-09-01,35192370172.6216,17076155167.1433,22673233098.9795,90774625525.9446,84685025014.321
2005-10-01,35179073335.0759,20359891972.9536,21755099773.3953,,
2005-11-01,35057769254.3987,18344483860.1983,22854987965.1929,,
2005-12-01,36249446490.9062,19149023842.021,16017050145.8261,90685191520.0681,85085104670.0744
2006-01-01,35297015284.4561,17760056762.9597,22032942026.1391,,
2006-02-01,35983815679.4957,19044926487.235,22288181157.3541,,
2006-03-01,35879080042.4987,19921454293.3973,20781019343.9552,91533608283.4528,86934253506.7991
2006-04-01,36615790717.1608,18106897250.7373,20257513861.8385,,
2006-05-01,37283574225.2458,19922660663.0017,21990909262.5888,,
2006-06-01,36841601913.7257,19427264743.0439,21029401061.2204,91491892242.1215,87539202044.261
2006-07-01,37986774089.2793,18310299271.3313,21148355797.9637,,
2006-08-01,36999414084.7381,19546483117.2943,22314335134.1699,,
2006-09-01,37902201385.572,21947484417.2297,21351634340.7889,91471753312.8505,88501892645.4252
2006-10-01,38834483311.364,18299161200.1531,22131698512.1945,,
2006-11-01,38030789185.1896,20254750366.4789,22595354052.4051,,
2006-12-01,38662521809.7116,20068777239.4674,22647333177.6725,91894084838.2936,89525398445.4389
2007-01-01,39478113337.87,22593605102.674,23028142678.1958,,
2007-02-01,41732729364.8765,21084532886.0598,20896371451.7024,,
2007-03-01,40723076789.6477,21901712959.9028,22205852420.2741,91890801269.3826,91838549265.9318
2007-04-01,41544642505.2147,20678788894.8147,22471513720.8141,,
2007-05-01,41218089176.6479,21641863219.6371,22055106578.0652,,
2007-06-01,41433094541.1498,21337553372.8854,22038929053.5526,91472715793.5713,92346144223.0237
