date,REV_GG_TAX_TOTAL,REV_CG_TOTAL,EXP_CG_TOTAL,EXP_GG_SA_TOTAL,REV_GG_SA_TOTAL,IFO_BIZCLIMATE,GDP_DEFLATOR,GDP_REAL,HICP_TOTAL,IP_TOTAL,RETAIL_TURNOVER,AUTO_SALES,BUND_YIELD_10Y
1961-12-01,,,,,,,,,,,,,5.99
1962-01-01,,,,,,,,,,,,,5.89
1962-02-01,,,,,,,,,,,,,5.69
1962-03-01,,,,,,,,,,,,,5.59
1962-04-01,,,,,,,,,,,,,5.59
1962-05-01,,,,,,,,,,,,,5.79
1962-06-01,,,,,,,,,,,,,5.89
1962-07-01,,,,,,,,,,,,,5.89
1962-08-01,,,,,,,,,,,,,5.99
1962-09-01,,,,,,,,,,,,,5.99
